,sst,sst_lag_1d,sst_lag_2d,sst_lag_4d,sst_lag_7d,tp_mm_daily,tp_mm_daily_lag_1d,tp_mm_daily_lag_2d,tp_mm_daily_lag_4d,tp_mm_daily_lag_7d,mhw,mhw_lag_1d,mhw_lag_2d,mhw_lag_4d,mhw_lag_7d,sst_anom,sst_anom_lag_1d,sst_anom_lag_2d,sst_anom_lag_4d,sst_anom_lag_7d,tsm,tsm_lag_1d,tsm_lag_2d,tsm_lag_4d,tsm_lag_7d,chl,land_cov_near,ecoli_2class
44001,16.279999,16.790009,16.829987,17.320007,16.950012,0.6918907,1.0223389,0.023841858,0.116825104,0.062465668,1.0,1.0,1.0,1.0,1.0,0.82632446,1.378418,1.5178833,2.1184387,1.8263245,1.1219971179962158,0.3982177674770355,0.19619090855121613,0.5217882990837097,0.556978702545166,1.5980206727981567,130,Good
55784,14.25,14.25,14.130005,14.910004,14.299988,5.1226616,0.0047683716,0.9803772,0.0,0.07581711,0.0,0.0,0.0,0.0,0.0,0.025787354,0.12841797,0.043151855,0.96157837,0.6015625,0.6205381751060486,0.9376571178436279,0.8032949566841125,0.3970775604248047,0.28241872787475586,0.6634265184402466,190,Good
44002,16.76001,17.109985,16.980011,17.420013,17.209991,0.6918907,1.0223389,0.023841858,0.116825104,0.062465668,1.0,1.0,1.0,1.0,1.0,1.3505249,1.7341919,1.6958008,2.216858,2.0031433,1.1219971179962158,0.41706475615501404,0.1822178065776825,0.5217882990837097,0.556978702545166,1.5980206727981567,40,Good
42706,16.440002,16.309998,16.25,16.049988,15.299988,0.89788437,0.0,0.04529953,0.03194809,1.5459061,2.0,2.0,2.0,2.0,1.0,2.667389,2.5831604,2.6010437,2.512085,1.9436646,1.5130958557128906,0.7983224987983704,2.5637776851654053,1.55018949508667,1.1043380498886108,1.5619548559188843,190,Good
77886,17.609985,17.549988,17.519989,17.540009,17.5,0.0019073486,0.010967255,0.0038146973,0.17023087,1.6307831,0.0,0.0,0.0,0.0,0.0,0.18847656,0.04498291,-0.0625,-0.15698242,-0.41900635,2.842906951904297,2.4309329986572266,1.828377604484558,1.9111332893371582,2.2135918140411377,3.72391939163208,190,Good
58810,17.089996,16.959991,16.73999,16.450012,16.059998,0.014781952,0.002861023,0.0052452087,0.111579895,0.3466606,0.0,0.0,0.0,0.0,0.0,0.4484253,0.2857666,0.027893066,-0.35736084,-0.7678833,0.3179987668991089,0.2745473086833954,0.25458207726478577,0.29958245158195496,0.300409734249115,0.7969008684158325,130,Good
10374,17.470001,17.320007,17.139984,16.070007,15.619995,0.002861023,0.0,0.0,0.0910759,0.005722046,0.0,0.0,0.0,0.0,0.0,0.5852661,0.52316284,0.4189148,-0.41629028,-0.72946167,7.078917980194092,2.4934613704681396,6.415865898132324,10.995782852172852,6.836496353149414,6.392914295196533,190,Good
67207,14.600006,14.389984,13.98999,13.299988,12.910004,0.041007996,0.0014305115,0.0,0.0047683716,0.0,1.0,1.0,1.0,1.0,1.0,1.586853,1.5047302,1.1663208,0.72210693,0.7626343,1.0917152166366577,0.9839829802513123,0.6856182217597961,1.0507358312606812,0.8611300587654114,2.119405746459961,210,Good
49404,17.98999,18.029999,17.950012,17.630005,16.910004,0.02670288,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.6915588,2.7963257,2.795807,2.6552734,2.121582,1.0730822086334229,1.7418872117996216,1.0800610780715942,1.0289868116378784,1.5110818147659302,1.0748915672302246,190,Good
16728,18.350006,18.279999,18.089996,17.529999,16.369995,0.25367737,0.024795532,0.010967255,0.00333786,0.002861023,2.0,2.0,1.0,1.0,0.0,3.7637024,3.77948,3.6747437,3.1921082,2.2289429,0.6198877692222595,0.698290228843689,0.6580531597137451,0.5986800193786621,1.1948699951171875,0.7721042633056641,190,Good
